Index	ID
1	Sample50.1_1R01C01
2	Sample63.1_1R02C01
3	Sample77.1_1R03C01
4	Sample12.1_1R06C01
5	Sample92.1_1R04C01
6	Sample104.1_1R05C01
7	Sample24.1_1R07C01
8	Sample51.1_1R08C01
9	Sample2.1_2R01C01
11	Sample282.1_2R03C01
12	Sample14.1_2R04C01
13	Sample26.1_2R05C01
15	Sample53.1_2R07C01
16	Sample67.1_2R08C01
18	Sample180.1_13R08C01
19	Sample107.1_13R03C01
20	Sample191.1_13R02C01
21	Sample156.1_13R06C01
22	Sample168.1_13R07C01
23	Sample144.1_13R05C01
25	Sample32.1_3R01C01
26	Sample45.1_3R02C01
27	Sample58.1_3R03C01
28	Sample20.1_3R08C01
29	Sample100.1_3R06C01
30	Sample73.1_3R04C01
31	Sample86.1_3R05C01
32	Sample8.1_3R07C01
33	Sample136.1_14R08C01
34	Sample182.1_14R01C01
35	Sample111.1_14R07C01
36	Sample194.1_14R02C01
37	Sample183.1_14R06C01
38	Sample147.1_14R04C01
39	Sample135.1_14R03C01
40	Sample159.1_14R05C01
41	Sample30.1_4R02C01
42	Sample56.1_4R04C01
43	Sample43.1_4R03C01
44	Sample6.1_4R07C01
45	Sample17.1_4R01C01
46	Sample83.1_4R05C01
47	Sample18.1_4R08C01
48	Sample98.1_4R06C01
49	Sample64.1_5R01C01
50	Sample78.1_5R02C01
51	Sample93.1_5R03C01
52	Sample167.1_5R08C01
53	Sample105.1_5R04C01
54	Sample131.1_5R05C01
55	Sample155.1_5R07C01
56	Sample143.1_5R06C01
57	Sample133.1_15R01C01
58	Sample146.1_15R06C01
60	Sample170.1_15R08C01
61	Sample408.1_15R03C01
62	Sample181.1_15R04C01
63	Sample122.1_15R05C01
64	Sample158.1_15R07C01
65	Sample34.1_6R01C01
66	Sample59.1_6R03C01
67	Sample46.1_6R02C01
68	Sample88.1_6R05C01
69	Sample101.1_6R06C01
70	Sample9.1_6R07C01
71	Sample21.1_6R08C01
72	Sample74.1_6R04C01
73	Sample49.1_7R01C01
74	Sample76.1_7R03C01
75	Sample23.1_7R07C01
76	Sample37.1_7R08C01
77	Sample90.1_7R04C01
78	Sample62.1_7R02C01
79	Sample103.1_7R05C01
80	Sample11.1_7R06C01
81	Sample31.1_8R01C01
82	Sample44.1_8R02C01
83	Sample19.1_8R08C01
84	Sample84.1_8R05C01
85	Sample99.1_8R06C01
86	Sample72.1_8R04C01
87	Sample57.1_8R03C01
88	Sample7.1_8R07C01
89	Sample35.1_9R01C01
90	Sample47.1_9R02C01
91	Sample36.1_9R08C01
92	Sample60.1_9R03C01
93	Sample75.1_9R04C01
94	Sample89.1_9R05C01
95	Sample102.1_9R06C01
96	Sample22.1_9R07C01
97	Sample528.1_37R03C01
98	Sample578.1_37R07C01
99	Sample516.1_37R02C01
100	Samplec1.1_37R01C01
101	Sample541.1_37R04C01
102	Sample554.1_37R05C01
103	Sample590.1_37R08C01
104	Sample566.1_37R06C01
105	Sample546.1_38R01C01
106	Sample571.1_38R03C01
107	Samplec9.1_38R05C01
108	Sample559.1_38R02C01
109	Sample595.1_38R04C01
110	Sample534.1_38R06C01
111	Sample547.1_38R07C01
112	Sample572.1_38R08C01
113	Sample532.1_39R01C01
114	Sample582.1_39R05C01
115	Sample594.1_39R06C01
116	Sample570.1_39R04C01
117	Sample558.1_39R03C01
118	Sample545.1_39R02C01
119	Sample533.1_39R08C01
120	Samplec8.1_39R07C01
122	Sample347.1_16R08C01
123	Sample253.1_16R02C01
124	Sample320.1_16R06C01
125	Sample265.1_16R03C01
126	Sample334.1_16R07C01
127	Sample289.1_16R04C01
128	Sample305.1_16R05C01
129	Sample419.1_40R02C01
130	Sample508.1_40R08C01
131	Sample432.1_40R03C01
132	Sample507.1_40R01C01
133	Sample457.1_40R04C01
134	Sample471.1_40R05C01
135	Sample496.1_40R07C01
136	Sample484.1_40R06C01
137	Sample338.1_17R03C01
138	Sample387.1_17R01C01
139	Sample326.1_17R08C01
140	Sample388.1_17R07C01
141	Sample324.1_17R02C01
143	Sample376.1_17R06C01
144	Sample363.1_17R05C01
145	Sample130.1_18R01C01
146	Sample217.1_18R08C01
147	Sample154.1_18R02C01
148	Sample204.1_18R07C01
149	Sample166.1_18R03C01
150	Sample203.1_18R06C01
151	Sample178.1_18R04C01
152	Sample190.1_18R05C01
154	Sample350.1_19R08C01
155	Sample310.1_19R07C01
156	Sample322.1_19R02C01
157	Sample398.1_19R06C01
158	Sample349.1_19R03C01
159	Sample373.1_19R04C01
160	Sample386.1_19R05C01
161	Sample242.1_20R01C01
162	Sample254.1_20R02C01
163	Sample278.1_20R04C01
164	Sample231.1_20R07C01
165	Sample243.1_20R08C01
166	Sample266.1_20R03C01
167	Sample291.1_20R05C01
168	Sample218.1_20R06C01
169	Sample531.1_41R01C01
170	Sample544.1_41R02C01
171	Samplec7.1_41R07C01
