Name	Chr	Position
exm2014254	2	242756160
exm2269245	2	242918203
exm285145	2	242743532
exm285162	2	242755734
exm285169	2	242755776
exm285173	2	242755877
exm285174	2	242755880
exm285179	2	242756152
exm285195	2	242756338
exm285206	2	242757460
exm285208	2	242757466
exm285210	2	242757494
exm285218	2	242757680
exm285235	2	242758176
exm285237	2	242758187
exm285245	2	242758210
exm285249	2	242758301
exm285263	2	242793287
exm285264	2	242793290
exm285267	2	242793362
exm285272	2	242793433
exm285283	2	242794356
exm285293	2	242794796
exm285299	2	242794902
exm285320	2	242811915
exm285321	2	242811935
exm285323	2	242811961
exm285334	2	242813886
exm285359	2	242814360
exm285376	2	242814536
exm285384	2	242814639
exm285386	2	242814702
exm285387	2	242814705
exm285391	2	242814758
exm285404	2	242814983
exm285409	2	242815059
exm285418	2	242815157
exm285422	2	242815175
kgp14294579	2	242937311
kgp14399551	2	243017485
rs12468297	2	242996474
rs12469535	2	243044147
rs12472007	2	242932909
rs12620346	2	242962791
rs12987998	2	242917734
rs13390284	2	242919764
rs13431327	2	242971871
rs13432136	2	242929164
rs28528975	2	242750743
rs35399295	2	242795942
rs3892357	2	242763542
rs3934981	2	242926381
rs3934982	2	242926558
rs4072221	2	242809415
rs4973649	2	243034519
rs4973686	2	243020723
rs6605267	2	242824974
rs6712567	2	242929233
rs6737774	2	242918157
rs6737791	2	242918203
rs6740738	2	243007368
rs7421861	2	242795350
rs7423746	2	242937388
rs7573042	2	242996589
rs7587805	2	242942878
